LocalDateTime,Flow (cfs),Temperture (C)
2016-10-24 17:00:00,3.851091,8.643000
2016-10-24 17:15:00,3.794457,8.668000
2016-10-24 17:30:00,3.794457,8.693000
2016-10-24 17:45:00,3.737823,8.717000
2016-10-24 18:00:00,3.737823,8.742000
2016-10-24 18:15:00,3.652873,8.767000
2016-10-24 18:30:00,3.596239,8.792000
2016-10-24 18:45:00,3.539605,8.841000
2016-10-24 19:00:00,3.539605,8.841000
2016-10-24 19:15:00,3.539605,8.841000
2016-10-24 19:30:00,3.539605,8.841000
2016-10-24 19:45:00,3.539605,8.841000
2016-10-24 20:00:00,3.539605,8.841000
2016-10-24 20:15:00,3.539605,8.817000
2016-10-24 20:30:00,3.539605,8.792000
2016-10-24 20:45:00,3.539605,8.767000
2016-10-24 21:00:00,3.539605,8.742000
2016-10-24 21:15:00,3.482972,8.717000
2016-10-24 21:30:00,3.539605,8.693000
2016-10-24 21:45:00,3.539605,8.693000
2016-10-24 22:00:00,3.539605,8.668000
2016-10-24 22:15:00,3.539605,8.643000
2016-10-24 22:30:00,3.482972,8.618000
2016-10-24 22:45:00,3.482972,8.593000
2016-10-24 23:00:00,3.539605,8.568000
2016-10-24 23:15:00,3.539605,8.543000
2016-10-24 23:30:00,3.539605,8.519000
2016-10-24 23:45:00,3.596239,8.494000
2016-10-25 00:00:00,3.652873,8.469000
2016-10-25 00:15:00,3.652873,8.444000
2016-10-25 00:30:00,3.652873,8.419000
2016-10-25 00:45:00,3.794457,8.394000
2016-10-25 01:00:00,3.794457,8.369000
2016-10-25 01:15:00,3.794457,8.369000
2016-10-25 01:30:00,3.794457,8.344000
2016-10-25 01:45:00,3.794457,8.344000
2016-10-25 02:00:00,3.794457,8.319000
2016-10-25 02:15:00,3.737823,8.319000
2016-10-25 02:30:00,3.794457,8.295000
2016-10-25 02:45:00,4.530695,8.295000
2016-10-25 03:00:00,4.105942,8.245000
2016-10-25 03:15:00,3.652873,8.245000
2016-10-25 03:30:00,3.652873,8.270000
2016-10-25 03:45:00,3.652873,8.270000
2016-10-25 04:00:00,3.907724,8.270000
2016-10-25 04:15:00,4.049309,8.245000
2016-10-25 04:30:00,4.049309,8.245000
2016-10-25 04:45:00,3.907724,8.245000
2016-10-25 05:00:00,3.907724,8.245000
2016-10-25 05:15:00,3.907724,8.245000
2016-10-25 05:30:00,3.907724,8.245000
2016-10-25 05:45:00,3.737823,8.220000
2016-10-25 06:00:00,3.794457,8.245000
2016-10-25 06:15:00,3.737823,8.245000
2016-10-25 06:30:00,3.652873,8.220000
2016-10-25 06:45:00,3.652873,8.245000
2016-10-25 07:00:00,3.652873,8.220000
2016-10-25 07:15:00,3.652873,8.220000
2016-10-25 07:30:00,3.652873,8.195000
