LocalDateTime,Flow (cms),Temperture (C)
10/24/16 17:00,3.851091,8.643
10/24/16 17:15,3.794457,8.668
10/24/16 17:30,3.794457,8.693
10/24/16 17:45,3.737823,8.717
10/24/16 18:00,3.737823,8.742
10/24/16 18:15,3.652873,8.767
10/24/16 18:30,3.596239,8.792
10/24/16 18:45,3.539605,8.841
10/24/16 19:00,3.539605,8.841
10/24/16 19:15,3.539605,8.841
10/24/16 19:30,3.539605,8.841
10/24/16 19:45,3.539605,8.841
10/24/16 20:00,3.539605,8.841
10/24/16 20:15,3.539605,8.817
10/24/16 20:30,3.539605,8.792
10/24/16 20:45,3.539605,8.767
10/24/16 21:00,3.539605,8.742
10/24/16 21:15,3.482972,8.717
10/24/16 21:30,3.539605,8.693
10/24/16 21:45,3.539605,8.693
10/24/16 22:00,3.539605,8.668
10/24/16 22:15,3.539605,8.643
10/24/16 22:30,3.482972,8.618
10/24/16 22:45,3.482972,8.593
10/24/16 23:00,3.539605,8.568
10/24/16 23:15,3.539605,8.543
10/24/16 23:30,3.539605,8.519
10/24/16 23:45,3.596239,8.494
10/25/16 0:00,3.652873,8.469
10/25/16 0:15,3.652873,8.444
10/25/16 0:30,3.652873,8.419
10/25/16 0:45,3.794457,8.394
10/25/16 1:00,3.794457,8.369
10/25/16 1:15,3.794457,8.369
10/25/16 1:30,3.794457,8.344
10/25/16 1:45,3.794457,8.344
10/25/16 2:00,3.794457,8.319
10/25/16 2:15,3.737823,8.319
10/25/16 2:30,3.794457,8.295
10/25/16 2:45,4.530695,8.295
10/25/16 3:00,4.105942,8.245
10/25/16 3:15,3.652873,8.245
10/25/16 3:30,3.652873,8.27
10/25/16 3:45,3.652873,8.27
10/25/16 4:00,3.907724,8.27
10/25/16 4:15,4.049309,8.245
10/25/16 4:30,4.049309,8.245
10/25/16 4:45,3.907724,8.245
10/25/16 5:00,3.907724,8.245
10/25/16 5:15,3.907724,8.245
10/25/16 5:30,3.907724,8.245
10/25/16 5:45,3.737823,8.22
10/25/16 6:00,3.794457,8.245
10/25/16 6:15,3.737823,8.245
10/25/16 6:30,3.652873,8.22
10/25/16 6:45,3.652873,8.245
10/25/16 7:00,3.652873,8.22
10/25/16 7:15,3.652873,8.22
10/25/16 7:30,3.652873,8.195
10/25/16 7:45,3.794457,8.195
10/25/16 8:00,3.794457,8.17
10/25/16 8:15,3.851091,8.145
10/25/16 8:30,4.049309,8.145
10/25/16 8:45,3.907724,8.145
10/25/16 9:00,3.794457,8.145
10/25/16 9:15,3.851091,8.145
10/25/16 9:30,3.794457,8.12
10/25/16 9:45,3.794457,8.12
10/25/16 10:00,3.652873,8.12
10/25/16 10:15,3.737823,8.145
10/25/16 10:30,3.652873,8.145
10/25/16 10:45,3.652873,8.145
10/25/16 11:00,3.652873,8.145
10/25/16 11:15,3.652873,8.17
10/25/16 11:30,3.737823,8.195
10/25/16 11:45,3.794457,8.22
10/25/16 12:00,3.794457,8.245
10/25/16 12:15,3.794457,8.27
10/25/16 12:30,3.794457,8.27
10/25/16 12:45,3.794457,8.245
10/25/16 13:00,3.851091,8.319
10/25/16 13:15,3.907724,8.295
10/25/16 13:30,3.907724,8.295
10/25/16 13:45,3.851091,8.319
10/25/16 14:00,3.737823,8.344
10/25/16 14:15,3.794457,8.444
10/25/16 14:30,3.737823,8.519
10/25/16 14:45,3.652873,8.543
10/25/16 15:00,3.652873,8.643
10/25/16 15:15,3.652873,8.693
10/25/16 15:30,3.652873,8.742
10/25/16 15:45,3.596239,8.792
10/25/16 16:00,3.596239,8.841
10/25/16 16:15,3.539605,8.866
10/25/16 16:30,3.652873,8.965
10/25/16 16:45,3.596239,9.015
10/25/16 17:00,3.596239,9.064
10/25/16 17:15,3.652873,9.114
10/25/16 17:30,3.652873,9.114
10/25/16 17:45,3.652873,9.139
10/25/16 18:00,3.652873,9.163
10/25/16 18:15,3.652873,9.163
10/25/16 18:30,3.596239,9.188
10/25/16 18:45,3.596239,9.188
10/25/16 19:00,3.652873,9.213
10/25/16 19:15,3.596239,9.238
10/25/16 19:30,3.737823,9.238
10/25/16 19:45,3.737823,9.262
10/25/16 20:00,3.794457,9.287
10/25/16 20:15,3.794457,9.287
10/25/16 20:30,3.794457,9.287
10/25/16 20:45,3.907724,9.287
10/25/16 21:00,3.907724,9.287
10/25/16 21:15,3.851091,9.262
10/25/16 21:30,3.794457,9.238
10/25/16 21:45,3.737823,9.213
10/25/16 22:00,3.794457,9.163
10/25/16 22:15,3.737823,9.139
10/25/16 22:30,3.794457,9.114
10/25/16 22:45,3.907724,9.064
10/25/16 23:00,3.907724,9.015
10/25/16 23:15,3.907724,8.99
10/25/16 23:30,3.851091,8.916
10/25/16 23:45,3.907724,8.891
10/26/16 0:00,3.907724,8.841
10/26/16 0:15,3.907724,8.792
10/26/16 0:30,3.907724,8.742
10/26/16 0:45,3.907724,8.717
10/26/16 1:00,4.247527,8.693
10/26/16 1:15,4.30416,8.643
10/26/16 1:30,4.190893,8.593
10/26/16 1:45,4.247527,8.543
10/26/16 2:00,3.426338,8.494
10/26/16 2:15,3.369704,8.469
10/26/16 2:30,3.596239,8.444
10/26/16 2:45,3.794457,8.419
10/26/16 3:00,3.907724,8.369
10/26/16 3:15,3.794457,8.319
10/26/16 3:30,3.652873,8.27
10/26/16 3:45,3.737823,8.245
10/26/16 4:00,3.652873,8.195
10/26/16 4:15,3.851091,8.17
10/26/16 4:30,3.907724,8.145
10/26/16 4:45,3.907724,8.095
