6740_16_10406184,,
#,"Date Time, GMT-06:00","Temp,C (LGR S/N: 10406184, SEN S/N: 10406184)"
1,2016-10-24 17:00:00,8.643
2,2016-10-24 17:15:00,8.668
3,2016-10-24 17:30:00,8.693
4,2016-10-24 17:45:00,8.717
5,2016-10-24 18:00:00,8.742
6,2016-10-24 18:15:00,8.767
7,2016-10-24 18:30:00,8.792
8,2016-10-24 18:45:00,8.841
9,2016-10-24 19:00:00,8.841
10,2016-10-24 19:15:00,8.841
11,2016-10-24 19:30:00,8.841
12,2016-10-24 19:45:00,8.841
13,2016-10-24 20:00:00,8.841
14,2016-10-24 20:15:00,8.817
15,2016-10-24 20:30:00,8.792
16,2016-10-24 20:45:00,8.767
17,2016-10-24 21:00:00,8.742
18,2016-10-24 21:15:00,8.717
19,2016-10-24 21:30:00,8.693
20,2016-10-24 21:45:00,8.693
21,2016-10-24 22:00:00,8.668
22,2016-10-24 22:15:00,8.643
23,2016-10-24 22:30:00,8.618
24,2016-10-24 22:45:00,8.593
25,2016-10-24 23:00:00,8.568
26,2016-10-24 23:15:00,8.543
27,2016-10-24 23:30:00,8.519
28,2016-10-24 23:45:00,8.494
29,2016-10-25 00:00:00,8.469
30,2016-10-25 00:15:00,8.444
31,2016-10-25 00:30:00,8.419
32,2016-10-25 00:45:00,8.394
33,2016-10-25 01:00:00,8.369
34,2016-10-25 01:15:00,8.369
35,2016-10-25 01:30:00,8.344
36,2016-10-25 01:45:00,8.344
37,2016-10-25 02:00:00,8.319
38,2016-10-25 02:15:00,8.319
39,2016-10-25 02:30:00,8.295
40,2016-10-25 02:45:00,8.295
41,2016-10-25 03:00:00,8.245
42,2016-10-25 03:15:00,8.245
43,2016-10-25 03:30:00,8.27
44,2016-10-25 03:45:00,8.27
45,2016-10-25 04:00:00,8.27
46,2016-10-25 04:15:00,8.245
47,2016-10-25 04:30:00,8.245
48,2016-10-25 04:45:00,8.245
49,2016-10-25 05:00:00,8.245
50,2016-10-25 05:15:00,8.245
51,2016-10-25 05:30:00,8.245
52,2016-10-25 05:45:00,8.22
53,2016-10-25 06:00:00,8.245
54,2016-10-25 06:15:00,8.245
55,2016-10-25 06:30:00,8.22
56,2016-10-25 06:45:00,8.245
57,2016-10-25 07:00:00,8.22
58,2016-10-25 07:15:00,8.22
59,2016-10-25 07:30:00,8.195
60,2016-10-25 07:45:00,8.195
61,2016-10-25 08:00:00,8.17
62,2016-10-25 08:15:00,8.145
63,2016-10-25 08:30:00,8.145
64,2016-10-25 08:45:00,8.145
65,2016-10-25 09:00:00,8.145
66,2016-10-25 09:15:00,8.145
67,2016-10-25 09:30:00,8.12
68,2016-10-25 09:45:00,8.12
69,2016-10-25 10:00:00,8.12
70,2016-10-25 10:15:00,8.145
71,2016-10-25 10:30:00,8.145
72,2016-10-25 10:45:00,8.145
73,2016-10-25 11:00:00,8.145
74,2016-10-25 11:15:00,8.17
75,2016-10-25 11:30:00,8.195
76,2016-10-25 11:45:00,8.22
77,2016-10-25 12:00:00,8.245
78,2016-10-25 12:15:00,8.27
79,2016-10-25 12:30:00,8.27
80,2016-10-25 12:45:00,8.245
81,2016-10-25 13:00:00,8.319
82,2016-10-25 13:15:00,8.295
83,2016-10-25 13:30:00,8.295
84,2016-10-25 13:45:00,8.319
85,2016-10-25 14:00:00,8.344
86,2016-10-25 14:15:00,8.444
87,2016-10-25 14:30:00,8.519
88,2016-10-25 14:45:00,8.543
89,2016-10-25 15:00:00,8.643
90,2016-10-25 15:15:00,8.693
91,2016-10-25 15:30:00,8.742
92,2016-10-25 15:45:00,8.792
93,2016-10-25 16:00:00,8.841
94,2016-10-25 16:15:00,8.866
95,2016-10-25 16:30:00,8.965
96,2016-10-25 16:45:00,9.015
97,2016-10-25 17:00:00,9.064
98,2016-10-25 17:15:00,9.114
99,2016-10-25 17:30:00,9.114
100,2016-10-25 17:45:00,9.139
101,2016-10-25 18:00:00,9.163
102,2016-10-25 18:15:00,9.163
103,2016-10-25 18:30:00,9.188
104,2016-10-25 18:45:00,9.188
105,2016-10-25 19:00:00,9.213
106,2016-10-25 19:15:00,9.238
107,2016-10-25 19:30:00,9.238
108,2016-10-25 19:45:00,9.262
109,2016-10-25 20:00:00,9.287
110,2016-10-25 20:15:00,9.287
111,2016-10-25 20:30:00,9.287
112,2016-10-25 20:45:00,9.287
113,2016-10-25 21:00:00,9.287
114,2016-10-25 21:15:00,9.262
115,2016-10-25 21:30:00,9.238
116,2016-10-25 21:45:00,9.213
117,2016-10-25 22:00:00,9.163
118,2016-10-25 22:15:00,9.139
119,2016-10-25 22:30:00,9.114
120,2016-10-25 22:45:00,9.064
121,2016-10-25 23:00:00,9.015
122,2016-10-25 23:15:00,8.99
123,2016-10-25 23:30:00,8.916
124,2016-10-25 23:45:00,8.891
125,2016-10-26 00:00:00,8.841
126,2016-10-26 00:15:00,8.792
127,2016-10-26 00:30:00,8.742
128,2016-10-26 00:45:00,8.717
129,2016-10-26 01:00:00,8.693
130,2016-10-26 01:15:00,8.643
131,2016-10-26 01:30:00,8.593
132,2016-10-26 01:45:00,8.543
133,2016-10-26 02:00:00,8.494
134,2016-10-26 02:15:00,8.469
135,2016-10-26 02:30:00,8.444
136,2016-10-26 02:45:00,8.419
137,2016-10-26 03:00:00,8.369
138,2016-10-26 03:15:00,8.319
139,2016-10-26 03:30:00,8.27
140,2016-10-26 03:45:00,8.245
141,2016-10-26 04:00:00,8.195
142,2016-10-26 04:15:00,8.17
143,2016-10-26 04:30:00,8.145
144,2016-10-26 04:45:00,8.095
145,2016-10-26 05:00:00,8.07
146,2016-10-26 05:15:00,8.045
147,2016-10-26 05:30:00,7.995
148,2016-10-26 05:45:00,7.97
149,2016-10-26 06:00:00,7.945
150,2016-10-26 06:15:00,7.895
151,2016-10-26 06:30:00,7.87
152,2016-10-26 06:45:00,7.845
153,2016-10-26 07:00:00,7.795
154,2016-10-26 07:15:00,7.77
155,2016-10-26 07:30:00,7.745
156,2016-10-26 07:45:00,7.695
157,2016-10-26 08:00:00,7.67
158,2016-10-26 08:15:00,7.645
159,2016-10-26 08:30:00,7.594
160,2016-10-26 08:45:00,7.569
161,2016-10-26 09:00:00,7.544
162,2016-10-26 09:15:00,7.519
163,2016-10-26 09:30:00,7.494
164,2016-10-26 09:45:00,7.494
165,2016-10-26 10:00:00,7.469
166,2016-10-26 10:15:00,7.469
167,2016-10-26 10:30:00,7.444
168,2016-10-26 10:45:00,7.444
169,2016-10-26 11:00:00,7.444
170,2016-10-26 11:15:00,7.444
171,2016-10-26 11:30:00,7.469
172,2016-10-26 11:45:00,7.494
173,2016-10-26 12:00:00,7.519
174,2016-10-26 12:15:00,7.519
175,2016-10-26 12:30:00,7.544
176,2016-10-26 12:45:00,7.544
177,2016-10-26 13:00:00,7.569
178,2016-10-26 13:15:00,7.594
179,2016-10-26 13:30:00,7.619
180,2016-10-26 13:45:00,7.645
181,2016-10-26 14:00:00,7.645
182,2016-10-26 14:15:00,7.695
183,2016-10-26 14:30:00,7.77
184,2016-10-26 14:45:00,7.845
185,2016-10-26 15:00:00,7.895
186,2016-10-26 15:15:00,7.97
187,2016-10-26 15:30:00,8.045
188,2016-10-26 15:45:00,8.095
189,2016-10-26 16:00:00,8.145
190,2016-10-26 16:15:00,8.22
191,2016-10-26 16:30:00,8.295
192,2016-10-26 16:45:00,8.344
193,2016-10-26 17:00:00,8.419
194,2016-10-26 17:15:00,8.444
195,2016-10-26 17:30:00,8.494
196,2016-10-26 17:45:00,8.543
197,2016-10-26 18:00:00,8.568
198,2016-10-26 18:15:00,8.568
199,2016-10-26 18:30:00,8.593
200,2016-10-26 18:45:00,8.593
201,2016-10-26 19:00:00,8.618
202,2016-10-26 19:15:00,8.618
203,2016-10-26 19:30:00,8.643
204,2016-10-26 19:45:00,8.643
205,2016-10-26 20:00:00,8.643
206,2016-10-26 20:15:00,8.618
207,2016-10-26 20:30:00,8.593
208,2016-10-26 20:45:00,8.568
209,2016-10-26 21:00:00,8.543
210,2016-10-26 21:15:00,8.494
211,2016-10-26 21:30:00,8.444
212,2016-10-26 21:45:00,8.394
213,2016-10-26 22:00:00,8.344
214,2016-10-26 22:15:00,8.295
215,2016-10-26 22:30:00,8.27
216,2016-10-26 22:45:00,8.245
217,2016-10-26 23:00:00,8.195
218,2016-10-26 23:15:00,8.17
219,2016-10-26 23:30:00,8.12
220,2016-10-26 23:45:00,8.095
221,2016-10-27 00:00:00,8.07
222,2016-10-27 00:15:00,8.045
223,2016-10-27 00:30:00,8.02
224,2016-10-27 00:45:00,7.995
225,2016-10-27 01:00:00,7.97
226,2016-10-27 01:15:00,7.945
227,2016-10-27 01:30:00,7.92
228,2016-10-27 01:45:00,7.87
229,2016-10-27 02:00:00,7.845
230,2016-10-27 02:15:00,7.82
231,2016-10-27 02:30:00,7.795
232,2016-10-27 02:45:00,7.795
233,2016-10-27 03:00:00,7.745
234,2016-10-27 03:15:00,7.72
235,2016-10-27 03:30:00,7.695
236,2016-10-27 03:45:00,7.67
237,2016-10-27 04:00:00,7.645
238,2016-10-27 04:15:00,7.594
239,2016-10-27 04:30:00,7.569
240,2016-10-27 04:45:00,7.544
241,2016-10-27 05:00:00,7.519
242,2016-10-27 05:15:00,7.494
243,2016-10-27 05:30:00,7.494
244,2016-10-27 05:45:00,7.494
245,2016-10-27 06:00:00,7.469
246,2016-10-27 06:15:00,7.444
247,2016-10-27 06:30:00,7.419
248,2016-10-27 06:45:00,7.393
249,2016-10-27 07:00:00,7.393
250,2016-10-27 07:15:00,7.368
251,2016-10-27 07:30:00,7.343
252,2016-10-27 07:45:00,7.343
253,2016-10-27 08:00:00,7.318
254,2016-10-27 08:15:00,7.293
255,2016-10-27 08:30:00,7.293
256,2016-10-27 08:45:00,7.268
257,2016-10-27 09:00:00,7.268
258,2016-10-27 09:15:00,7.268
259,2016-10-27 09:30:00,7.242
260,2016-10-27 09:45:00,7.268
261,2016-10-27 10:00:00,7.268
262,2016-10-27 10:15:00,7.268
263,2016-10-27 10:30:00,7.368
264,2016-10-27 10:45:00,7.343
265,2016-10-27 11:00:00,7.419
266,2016-10-27 11:15:00,7.368
267,2016-10-27 11:30:00,7.343
268,2016-10-27 11:45:00,7.343
269,2016-10-27 12:00:00,7.393
270,2016-10-27 12:15:00,7.419
271,2016-10-27 12:30:00,7.494
272,2016-10-27 12:45:00,7.544
273,2016-10-27 13:00:00,7.569
274,2016-10-27 13:15:00,7.619
275,2016-10-27 13:30:00,7.619
276,2016-10-27 13:45:00,7.67
277,2016-10-27 14:00:00,7.695
278,2016-10-27 14:15:00,7.745
279,2016-10-27 14:30:00,7.845
280,2016-10-27 14:45:00,7.895
281,2016-10-27 15:00:00,7.97
282,2016-10-27 15:15:00,8.07
283,2016-10-27 15:30:00,8.145
284,2016-10-27 15:45:00,8.245
285,2016-10-27 16:00:00,8.295
286,2016-10-27 16:15:00,8.344
287,2016-10-27 16:30:00,8.444
288,2016-10-27 16:45:00,8.519
289,2016-10-27 17:00:00,8.593
290,2016-10-27 17:15:00,8.668
291,2016-10-27 17:30:00,8.717
292,2016-10-27 17:45:00,8.742
293,2016-10-27 18:00:00,8.792
294,2016-10-27 18:15:00,8.817
295,2016-10-27 18:30:00,8.841
296,2016-10-27 18:45:00,8.866
297,2016-10-27 19:00:00,8.891
298,2016-10-27 19:15:00,8.916
299,2016-10-27 19:30:00,8.916
300,2016-10-27 19:45:00,8.941
301,2016-10-27 20:00:00,8.941
302,2016-10-27 20:15:00,8.941
303,2016-10-27 20:30:00,8.916
304,2016-10-27 20:45:00,8.891
305,2016-10-27 21:00:00,8.891
306,2016-10-27 21:15:00,8.866
307,2016-10-27 21:30:00,8.841
308,2016-10-27 21:45:00,8.792
309,2016-10-27 22:00:00,8.767
310,2016-10-27 22:15:00,8.742
311,2016-10-27 22:30:00,8.717
312,2016-10-27 22:45:00,8.643
313,2016-10-27 23:00:00,8.618
314,2016-10-27 23:15:00,8.593
315,2016-10-27 23:30:00,8.593
316,2016-10-27 23:45:00,8.568
317,2016-10-28 00:00:00,8.543
318,2016-10-28 00:15:00,8.519
319,2016-10-28 00:30:00,8.494
320,2016-10-28 00:45:00,8.469
321,2016-10-28 01:00:00,8.469
322,2016-10-28 01:15:00,8.444
323,2016-10-28 01:30:00,8.444
324,2016-10-28 01:45:00,8.419
325,2016-10-28 02:00:00,8.394
326,2016-10-28 02:15:00,8.369
327,2016-10-28 02:30:00,8.369
328,2016-10-28 02:45:00,8.344
329,2016-10-28 03:00:00,8.344
330,2016-10-28 03:15:00,8.295
331,2016-10-28 03:30:00,8.295
332,2016-10-28 03:45:00,8.27
333,2016-10-28 04:00:00,8.245
334,2016-10-28 04:15:00,8.245
335,2016-10-28 04:30:00,8.22
336,2016-10-28 04:45:00,8.195
337,2016-10-28 05:00:00,8.195
338,2016-10-28 05:15:00,8.195
339,2016-10-28 05:30:00,8.195
340,2016-10-28 05:45:00,8.17
341,2016-10-28 06:00:00,8.17
342,2016-10-28 06:15:00,8.17
343,2016-10-28 06:30:00,8.145
344,2016-10-28 06:45:00,8.145
345,2016-10-28 07:00:00,8.145
346,2016-10-28 07:15:00,8.12
347,2016-10-28 07:30:00,8.12
348,2016-10-28 07:45:00,8.12
349,2016-10-28 08:00:00,8.095
350,2016-10-28 08:15:00,8.095
351,2016-10-28 08:30:00,8.095
352,2016-10-28 08:45:00,8.095
353,2016-10-28 09:00:00,8.07
354,2016-10-28 09:15:00,8.07
355,2016-10-28 09:30:00,8.045
356,2016-10-28 09:45:00,8.095
357,2016-10-28 10:00:00,8.095
358,2016-10-28 10:15:00,8.095
359,2016-10-28 10:30:00,8.095
360,2016-10-28 10:45:00,8.095
361,2016-10-28 11:00:00,8.095
362,2016-10-28 11:15:00,8.12
363,2016-10-28 11:30:00,8.145
364,2016-10-28 11:45:00,8.17
365,2016-10-28 12:00:00,8.22
366,2016-10-28 12:15:00,8.245
367,2016-10-28 12:30:00,8.295
368,2016-10-28 12:45:00,8.319
369,2016-10-28 13:00:00,8.344
370,2016-10-28 13:15:00,8.394
371,2016-10-28 13:30:00,8.444
372,2016-10-28 13:45:00,8.469
373,2016-10-28 14:00:00,8.494
374,2016-10-28 14:15:00,8.543
375,2016-10-28 14:30:00,8.593
376,2016-10-28 14:45:00,8.643
377,2016-10-28 15:00:00,8.693
378,2016-10-28 15:15:00,8.693
379,2016-10-28 15:30:00,8.742
380,2016-10-28 15:45:00,8.767
381,2016-10-28 16:00:00,8.817
382,2016-10-28 16:15:00,8.841
383,2016-10-28 16:30:00,8.866
