6740_16_1095938,,
#,"Date Time, GMT-06:00","Temp, C (LGR S/N: 1095938, SEN S/N: 1095938, LBL: 2016)"
1,2016-10-24 17:00:00,8.245
2,2016-10-24 17:15:00,8.295
3,2016-10-24 17:30:00,8.319
4,2016-10-24 17:45:00,8.344
5,2016-10-24 18:00:00,8.369
6,2016-10-24 18:15:00,8.394
7,2016-10-24 18:30:00,8.394
8,2016-10-24 18:45:00,8.419
9,2016-10-24 19:00:00,8.444
10,2016-10-24 19:15:00,8.444
11,2016-10-24 19:30:00,8.444
12,2016-10-24 19:45:00,8.444
13,2016-10-24 20:00:00,8.444
14,2016-10-24 20:15:00,8.444
15,2016-10-24 20:30:00,8.444
16,2016-10-24 20:45:00,8.469
17,2016-10-24 21:00:00,8.494
18,2016-10-24 21:15:00,8.494
19,2016-10-24 21:30:00,8.519
20,2016-10-24 21:45:00,8.519
21,2016-10-24 22:00:00,8.519
22,2016-10-24 22:15:00,8.519
23,2016-10-24 22:30:00,8.519
24,2016-10-24 22:45:00,8.519
25,2016-10-24 23:00:00,8.519
26,2016-10-24 23:15:00,8.543
27,2016-10-24 23:30:00,8.543
28,2016-10-24 23:45:00,8.543
29,2016-10-25 00:00:00,8.519
30,2016-10-25 00:15:00,8.519
31,2016-10-25 00:30:00,8.519
32,2016-10-25 00:45:00,8.519
33,2016-10-25 01:00:00,8.519
34,2016-10-25 01:15:00,8.494
35,2016-10-25 01:30:00,8.494
36,2016-10-25 01:45:00,8.469
37,2016-10-25 02:00:00,8.469
38,2016-10-25 02:15:00,8.444
39,2016-10-25 02:30:00,8.444
40,2016-10-25 02:45:00,8.419
41,2016-10-25 03:00:00,8.394
42,2016-10-25 03:15:00,8.394
43,2016-10-25 03:30:00,8.369
44,2016-10-25 03:45:00,8.344
45,2016-10-25 04:00:00,8.344
46,2016-10-25 04:15:00,8.344
47,2016-10-25 04:30:00,8.319
48,2016-10-25 04:45:00,8.319
49,2016-10-25 05:00:00,8.295
50,2016-10-25 05:15:00,8.295
51,2016-10-25 05:30:00,8.27
52,2016-10-25 05:45:00,8.245
53,2016-10-25 06:00:00,8.245
54,2016-10-25 06:15:00,8.245
55,2016-10-25 06:30:00,8.22
56,2016-10-25 06:45:00,8.195
57,2016-10-25 07:00:00,8.195
58,2016-10-25 07:15:00,8.17
59,2016-10-25 07:30:00,8.145
60,2016-10-25 07:45:00,8.145
61,2016-10-25 08:00:00,8.12
62,2016-10-25 08:15:00,8.095
63,2016-10-25 08:30:00,8.095
64,2016-10-25 08:45:00,8.095
65,2016-10-25 09:00:00,8.095
66,2016-10-25 09:15:00,8.095
67,2016-10-25 09:30:00,8.095
68,2016-10-25 09:45:00,8.095
69,2016-10-25 10:00:00,8.095
70,2016-10-25 10:15:00,8.095
71,2016-10-25 10:30:00,8.095
72,2016-10-25 10:45:00,8.12
73,2016-10-25 11:00:00,8.145
74,2016-10-25 11:15:00,8.17
75,2016-10-25 11:30:00,8.195
76,2016-10-25 11:45:00,8.245
77,2016-10-25 12:00:00,8.27
78,2016-10-25 12:15:00,8.295
79,2016-10-25 12:30:00,8.27
80,2016-10-25 12:45:00,8.319
81,2016-10-25 13:00:00,8.369
82,2016-10-25 13:15:00,8.344
83,2016-10-25 13:30:00,8.344
84,2016-10-25 13:45:00,8.394
85,2016-10-25 14:00:00,8.394
86,2016-10-25 14:15:00,8.419
87,2016-10-25 14:30:00,8.444
88,2016-10-25 14:45:00,8.494
89,2016-10-25 15:00:00,8.519
90,2016-10-25 15:15:00,8.543
91,2016-10-25 15:30:00,8.543
92,2016-10-25 15:45:00,8.568
93,2016-10-25 16:00:00,8.593
94,2016-10-25 16:15:00,8.618
95,2016-10-25 16:30:00,8.643
96,2016-10-25 16:45:00,8.668
97,2016-10-25 17:00:00,8.693
98,2016-10-25 17:15:00,8.717
99,2016-10-25 17:30:00,8.717
100,2016-10-25 17:45:00,8.742
101,2016-10-25 18:00:00,8.767
102,2016-10-25 18:15:00,8.792
103,2016-10-25 18:30:00,8.817
104,2016-10-25 18:45:00,8.841
105,2016-10-25 19:00:00,8.866
106,2016-10-25 19:15:00,8.891
107,2016-10-25 19:30:00,8.916
108,2016-10-25 19:45:00,8.916
109,2016-10-25 20:00:00,8.941
110,2016-10-25 20:15:00,8.965
111,2016-10-25 20:30:00,8.965
112,2016-10-25 20:45:00,8.99
113,2016-10-25 21:00:00,8.965
114,2016-10-25 21:15:00,8.941
115,2016-10-25 21:30:00,8.916
116,2016-10-25 21:45:00,8.891
117,2016-10-25 22:00:00,8.866
118,2016-10-25 22:15:00,8.866
119,2016-10-25 22:30:00,8.841
120,2016-10-25 22:45:00,8.841
121,2016-10-25 23:00:00,8.841
122,2016-10-25 23:15:00,8.841
123,2016-10-25 23:30:00,8.817
124,2016-10-25 23:45:00,8.792
125,2016-10-26 00:00:00,8.792
126,2016-10-26 00:15:00,8.792
127,2016-10-26 00:30:00,8.792
128,2016-10-26 00:45:00,8.792
129,2016-10-26 01:00:00,8.792
130,2016-10-26 01:15:00,8.767
131,2016-10-26 01:30:00,8.767
132,2016-10-26 01:45:00,8.742
133,2016-10-26 02:00:00,8.717
134,2016-10-26 02:15:00,8.693
135,2016-10-26 02:30:00,8.693
136,2016-10-26 02:45:00,8.643
137,2016-10-26 03:00:00,8.643
138,2016-10-26 03:15:00,8.593
139,2016-10-26 03:30:00,8.568
140,2016-10-26 03:45:00,8.543
141,2016-10-26 04:00:00,8.494
142,2016-10-26 04:15:00,8.469
143,2016-10-26 04:30:00,8.444
144,2016-10-26 04:45:00,8.394
145,2016-10-26 05:00:00,8.369
146,2016-10-26 05:15:00,8.295
147,2016-10-26 05:30:00,8.27
148,2016-10-26 05:45:00,8.245
149,2016-10-26 06:00:00,8.195
150,2016-10-26 06:15:00,8.145
151,2016-10-26 06:30:00,8.12
152,2016-10-26 06:45:00,8.07
153,2016-10-26 07:00:00,8.045
154,2016-10-26 07:15:00,7.995
155,2016-10-26 07:30:00,7.945
156,2016-10-26 07:45:00,7.895
157,2016-10-26 08:00:00,7.87
158,2016-10-26 08:15:00,7.845
159,2016-10-26 08:30:00,7.795
160,2016-10-26 08:45:00,7.77
161,2016-10-26 09:00:00,7.745
162,2016-10-26 09:15:00,7.695
163,2016-10-26 09:30:00,7.67
164,2016-10-26 09:45:00,7.645
165,2016-10-26 10:00:00,7.619
166,2016-10-26 10:15:00,7.594
167,2016-10-26 10:30:00,7.619
168,2016-10-26 10:45:00,7.645
169,2016-10-26 11:00:00,7.645
170,2016-10-26 11:15:00,7.67
171,2016-10-26 11:30:00,7.695
172,2016-10-26 11:45:00,7.695
173,2016-10-26 12:00:00,7.695
174,2016-10-26 12:15:00,7.695
175,2016-10-26 12:30:00,7.72
176,2016-10-26 12:45:00,7.745
177,2016-10-26 13:00:00,7.77
178,2016-10-26 13:15:00,7.845
179,2016-10-26 13:30:00,7.87
180,2016-10-26 13:45:00,7.92
181,2016-10-26 14:00:00,7.97
182,2016-10-26 14:15:00,8.045
183,2016-10-26 14:30:00,8.07
184,2016-10-26 14:45:00,8.095
185,2016-10-26 15:00:00,8.095
186,2016-10-26 15:15:00,8.12
187,2016-10-26 15:30:00,8.17
188,2016-10-26 15:45:00,8.195
189,2016-10-26 16:00:00,8.195
190,2016-10-26 16:15:00,8.195
191,2016-10-26 16:30:00,8.22
192,2016-10-26 16:45:00,8.245
193,2016-10-26 17:00:00,8.22
194,2016-10-26 17:15:00,8.245
195,2016-10-26 17:30:00,8.27
196,2016-10-26 17:45:00,8.319
197,2016-10-26 18:00:00,8.319
198,2016-10-26 18:15:00,8.319
199,2016-10-26 18:30:00,8.319
200,2016-10-26 18:45:00,8.319
201,2016-10-26 19:00:00,8.319
202,2016-10-26 19:15:00,8.344
203,2016-10-26 19:30:00,8.444
204,2016-10-26 19:45:00,8.469
205,2016-10-26 20:00:00,8.444
206,2016-10-26 20:15:00,8.394
207,2016-10-26 20:30:00,8.319
208,2016-10-26 20:45:00,8.27
209,2016-10-26 21:00:00,8.245
210,2016-10-26 21:15:00,8.22
211,2016-10-26 21:30:00,8.22
212,2016-10-26 21:45:00,8.195
213,2016-10-26 22:00:00,8.195
214,2016-10-26 22:15:00,8.195
215,2016-10-26 22:30:00,8.195
216,2016-10-26 22:45:00,8.17
217,2016-10-26 23:00:00,8.17
218,2016-10-26 23:15:00,8.17
219,2016-10-26 23:30:00,8.17
220,2016-10-26 23:45:00,8.17
221,2016-10-27 00:00:00,8.17
222,2016-10-27 00:15:00,8.145
223,2016-10-27 00:30:00,8.145
224,2016-10-27 00:45:00,8.12
225,2016-10-27 01:00:00,8.095
226,2016-10-27 01:15:00,8.095
227,2016-10-27 01:30:00,8.045
228,2016-10-27 01:45:00,8.045
229,2016-10-27 02:00:00,7.995
230,2016-10-27 02:15:00,7.97
231,2016-10-27 02:30:00,7.945
232,2016-10-27 02:45:00,7.92
233,2016-10-27 03:00:00,7.895
234,2016-10-27 03:15:00,7.87
235,2016-10-27 03:30:00,7.845
236,2016-10-27 03:45:00,7.795
237,2016-10-27 04:00:00,7.77
238,2016-10-27 04:15:00,7.745
239,2016-10-27 04:30:00,7.695
240,2016-10-27 04:45:00,7.67
241,2016-10-27 05:00:00,7.645
242,2016-10-27 05:15:00,7.594
243,2016-10-27 05:30:00,7.569
244,2016-10-27 05:45:00,7.544
245,2016-10-27 06:00:00,7.519
246,2016-10-27 06:15:00,7.494
247,2016-10-27 06:30:00,7.469
248,2016-10-27 06:45:00,7.444
249,2016-10-27 07:00:00,7.393
250,2016-10-27 07:15:00,7.368
251,2016-10-27 07:30:00,7.343
252,2016-10-27 07:45:00,7.343
253,2016-10-27 08:00:00,7.293
254,2016-10-27 08:15:00,7.268
255,2016-10-27 08:30:00,7.268
256,2016-10-27 08:45:00,7.242
257,2016-10-27 09:00:00,7.242
258,2016-10-27 09:15:00,7.242
259,2016-10-27 09:30:00,7.242
260,2016-10-27 09:45:00,7.217
261,2016-10-27 10:00:00,7.192
262,2016-10-27 10:15:00,7.217
263,2016-10-27 10:30:00,7.242
264,2016-10-27 10:45:00,7.242
265,2016-10-27 11:00:00,7.268
266,2016-10-27 11:15:00,7.293
267,2016-10-27 11:30:00,7.318
268,2016-10-27 11:45:00,7.343
269,2016-10-27 12:00:00,7.368
270,2016-10-27 12:15:00,7.368
271,2016-10-27 12:30:00,7.419
272,2016-10-27 12:45:00,7.469
273,2016-10-27 13:00:00,7.519
274,2016-10-27 13:15:00,7.544
275,2016-10-27 13:30:00,7.594
276,2016-10-27 13:45:00,7.645
277,2016-10-27 14:00:00,7.77
278,2016-10-27 14:15:00,7.795
279,2016-10-27 14:30:00,7.82
280,2016-10-27 14:45:00,7.845
281,2016-10-27 15:00:00,7.845
282,2016-10-27 15:15:00,7.895
283,2016-10-27 15:30:00,7.895
284,2016-10-27 15:45:00,7.92
285,2016-10-27 16:00:00,7.945
286,2016-10-27 16:15:00,7.995
287,2016-10-27 16:30:00,8.045
288,2016-10-27 16:45:00,8.095
289,2016-10-27 17:00:00,8.12
290,2016-10-27 17:15:00,8.195
291,2016-10-27 17:30:00,8.245
292,2016-10-27 17:45:00,8.27
293,2016-10-27 18:00:00,8.295
294,2016-10-27 18:15:00,8.319
295,2016-10-27 18:30:00,8.344
296,2016-10-27 18:45:00,8.344
297,2016-10-27 19:00:00,8.344
298,2016-10-27 19:15:00,8.369
299,2016-10-27 19:30:00,8.369
300,2016-10-27 19:45:00,8.394
301,2016-10-27 20:00:00,8.419
302,2016-10-27 20:15:00,8.444
303,2016-10-27 20:30:00,8.469
304,2016-10-27 20:45:00,8.494
305,2016-10-27 21:00:00,8.543
306,2016-10-27 21:15:00,8.568
307,2016-10-27 21:30:00,8.593
308,2016-10-27 21:45:00,8.568
309,2016-10-27 22:00:00,8.568
310,2016-10-27 22:15:00,8.568
311,2016-10-27 22:30:00,8.568
312,2016-10-27 22:45:00,8.568
313,2016-10-27 23:00:00,8.593
314,2016-10-27 23:15:00,8.593
315,2016-10-27 23:30:00,8.593
316,2016-10-27 23:45:00,8.593
317,2016-10-28 00:00:00,8.593
318,2016-10-28 00:15:00,8.593
319,2016-10-28 00:30:00,8.568
320,2016-10-28 00:45:00,8.568
321,2016-10-28 01:00:00,8.568
322,2016-10-28 01:15:00,8.543
323,2016-10-28 01:30:00,8.543
324,2016-10-28 01:45:00,8.519
325,2016-10-28 02:00:00,8.494
326,2016-10-28 02:15:00,8.469
327,2016-10-28 02:30:00,8.444
328,2016-10-28 02:45:00,8.444
329,2016-10-28 03:00:00,8.419
330,2016-10-28 03:15:00,8.394
331,2016-10-28 03:30:00,8.369
332,2016-10-28 03:45:00,8.344
333,2016-10-28 04:00:00,8.344
334,2016-10-28 04:15:00,8.319
335,2016-10-28 04:30:00,8.295
336,2016-10-28 04:45:00,8.295
337,2016-10-28 05:00:00,8.27
338,2016-10-28 05:15:00,8.27
339,2016-10-28 05:30:00,8.245
340,2016-10-28 05:45:00,8.22
341,2016-10-28 06:00:00,8.22
342,2016-10-28 06:15:00,8.195
343,2016-10-28 06:30:00,8.195
344,2016-10-28 06:45:00,8.17
345,2016-10-28 07:00:00,8.145
346,2016-10-28 07:15:00,8.145
347,2016-10-28 07:30:00,8.12
348,2016-10-28 07:45:00,8.12
349,2016-10-28 08:00:00,8.095
350,2016-10-28 08:15:00,8.095
351,2016-10-28 08:30:00,8.095
352,2016-10-28 08:45:00,8.095
353,2016-10-28 09:00:00,8.095
354,2016-10-28 09:15:00,8.07
355,2016-10-28 09:30:00,8.07
356,2016-10-28 09:45:00,8.07
357,2016-10-28 10:00:00,8.07
358,2016-10-28 10:15:00,8.07
359,2016-10-28 10:30:00,8.07
360,2016-10-28 10:45:00,8.07
361,2016-10-28 11:00:00,8.07
362,2016-10-28 11:15:00,8.07
363,2016-10-28 11:30:00,8.07
364,2016-10-28 11:45:00,8.095
365,2016-10-28 12:00:00,8.095
366,2016-10-28 12:15:00,8.145
367,2016-10-28 12:30:00,8.145
368,2016-10-28 12:45:00,8.145
369,2016-10-28 13:00:00,8.145
370,2016-10-28 13:15:00,8.145
371,2016-10-28 13:30:00,8.145
372,2016-10-28 13:45:00,8.195
373,2016-10-28 14:00:00,8.195
374,2016-10-28 14:15:00,8.245
375,2016-10-28 14:30:00,8.245
376,2016-10-28 14:45:00,8.319
377,2016-10-28 15:00:00,8.344
378,2016-10-28 15:15:00,8.369
379,2016-10-28 15:30:00,8.369
380,2016-10-28 15:45:00,8.369
381,2016-10-28 16:00:00,8.394
382,2016-10-28 16:15:00,8.394
383,2016-10-28 16:30:00,8.444
384,2016-10-28 16:45:00,8.469
385,2016-10-28 17:00:00,8.494
386,2016-10-28 17:15:00,8.543
387,2016-10-28 17:30:00,8.568
388,2016-10-28 17:45:00,8.643
389,2016-10-28 18:00:00,8.643
390,2016-10-28 18:15:00,8.643
391,2016-10-28 18:30:00,8.643
392,2016-10-28 18:45:00,8.643
393,2016-10-28 19:00:00,8.717
394,2016-10-28 19:15:00,8.693
395,2016-10-28 19:30:00,8.693
396,2016-10-28 19:45:00,8.693
397,2016-10-28 20:00:00,8.717
398,2016-10-28 20:15:00,8.742
399,2016-10-28 20:30:00,8.767
400,2016-10-28 20:45:00,8.792
401,2016-10-28 21:00:00,8.792
402,2016-10-28 21:15:00,8.841
403,2016-10-28 21:30:00,8.841
404,2016-10-28 21:45:00,8.841
405,2016-10-28 22:00:00,8.866
406,2016-10-28 22:15:00,8.866
407,2016-10-28 22:30:00,8.891
408,2016-10-28 22:45:00,8.891
409,2016-10-28 23:00:00,8.891
410,2016-10-28 23:15:00,8.891
411,2016-10-28 23:30:00,8.891
412,2016-10-28 23:45:00,8.891
413,2016-10-29 00:00:00,8.891
414,2016-10-29 00:15:00,8.891
415,2016-10-29 00:30:00,8.891
416,2016-10-29 00:45:00,8.891
417,2016-10-29 01:00:00,8.891
418,2016-10-29 01:15:00,8.866
419,2016-10-29 01:30:00,8.866
420,2016-10-29 01:45:00,8.866
421,2016-10-29 02:00:00,8.866
422,2016-10-29 02:15:00,8.866
423,2016-10-29 02:30:00,8.841
424,2016-10-29 02:45:00,8.841
425,2016-10-29 03:00:00,8.841
426,2016-10-29 03:15:00,8.841
427,2016-10-29 03:30:00,8.841
428,2016-10-29 03:45:00,8.817
429,2016-10-29 04:00:00,8.817
430,2016-10-29 04:15:00,8.792
431,2016-10-29 04:30:00,8.792
432,2016-10-29 04:45:00,8.792
433,2016-10-29 05:00:00,8.792
434,2016-10-29 05:15:00,8.792
435,2016-10-29 05:30:00,8.792
436,2016-10-29 05:45:00,8.767
437,2016-10-29 06:00:00,8.742
438,2016-10-29 06:15:00,8.742
439,2016-10-29 06:30:00,8.742
440,2016-10-29 06:45:00,8.742
441,2016-10-29 07:00:00,8.742
442,2016-10-29 07:15:00,8.742
443,2016-10-29 07:30:00,8.742
444,2016-10-29 07:45:00,8.717
445,2016-10-29 08:00:00,8.717
446,2016-10-29 08:15:00,8.717
