LocalDateTime,Air Temperature (C),Dew Point Temperture (C),Shortwave Radiation (ly/d),Wind Speed (m/s)
2016-10-24 17:00:00,16.777778,6.500000,231.166348,1.519936
2016-10-24 18:00:00,16.500000,6.333333,110.707457,1.564640
2016-10-24 19:00:00,15.666667,6.000000,8.030593,0.536448
2016-10-24 20:00:00,14.666667,5.944444,0.000000,1.654048
2016-10-24 21:00:00,14.111111,6.000000,0.000000,2.190496
2016-10-24 22:00:00,13.833333,6.055556,0.000000,2.414016
2016-10-24 23:00:00,12.944444,6.222222,0.000000,2.950464
2016-10-25 00:00:00,13.500000,6.166667,0.000000,2.056384
2016-10-25 01:00:00,14.611111,6.111111,0.000000,1.162304
2016-10-25 02:00:00,14.611111,6.500000,0.000000,0.670560
2016-10-25 03:00:00,13.555556,7.444444,0.000000,2.011680
2016-10-25 04:00:00,12.055556,8.722222,0.000000,1.072896
2016-10-25 05:00:00,10.777778,9.555556,0.000000,1.430528
2016-10-25 06:00:00,11.500000,8.722222,0.000000,2.011680
2016-10-25 07:00:00,10.722222,8.777778,0.000000,2.458720
2016-10-25 08:00:00,10.222222,8.277778,2.294455,2.816352
2016-10-25 09:00:00,10.000000,8.055556,66.539197,2.011680
2016-10-25 10:00:00,10.611111,8.166667,348.183556,2.771648
2016-10-25 11:00:00,12.500000,8.611111,815.678776,1.788160
2016-10-25 12:00:00,14.944444,8.666667,1036.520076,1.028192
2016-10-25 13:00:00,16.666667,8.388889,1006.118547,1.072896
2016-10-25 14:00:00,16.222222,7.333333,461.185468,1.162304
2016-10-25 15:00:00,17.055556,6.722222,795.028681,1.564640
2016-10-25 16:00:00,17.611111,6.666667,750.860421,1.341120
2016-10-25 17:00:00,17.166667,6.388889,489.292543,0.983488
2016-10-25 18:00:00,16.888889,6.555556,250.669216,0.938784
2016-10-25 19:00:00,14.777778,6.777778,20.076482,1.251712
2016-10-25 20:00:00,12.944444,6.777778,0.000000,2.548128
2016-10-25 21:00:00,11.555556,6.722222,0.000000,3.576320
2016-10-25 22:00:00,11.055556,6.111111,0.000000,5.051552
2016-10-25 23:00:00,10.833333,5.444444,0.000000,6.079744
2016-10-26 00:00:00,10.333333,4.777778,0.000000,7.197344
2016-10-26 01:00:00,9.666667,4.388889,0.000000,7.733792
2016-10-26 02:00:00,9.055556,4.055556,0.000000,7.242048
2016-10-26 03:00:00,8.444444,3.777778,0.000000,7.152640
2016-10-26 04:00:00,8.000000,3.555556,0.000000,7.331456
2016-10-26 05:00:00,7.722222,3.333333,0.000000,8.002016
2016-10-26 06:00:00,7.611111,3.166667,0.000000,8.538464
2016-10-26 07:00:00,7.500000,3.055556,0.000000,8.493760
2016-10-26 08:00:00,7.388889,2.944444,2.294455,8.180832
2016-10-26 09:00:00,7.666667,2.777778,29.827916,8.449056
2016-10-26 10:00:00,8.444444,2.888889,372.848948,7.867904
