LocalDateTime (MST),Air Temperature (°C ),Relative Humidity (%),Shortwave Solar Radiation (W/m2),Wind Speed (m/s)
10/25/19 15:15,13.54,26.35,364.6,0.755
10/25/19 15:30,13.57,26.04,326.3,0.731
10/25/19 15:45,13.54,24.87,285.2,0.46
10/25/19 16:00,13.59,25.42,246.5,1.089
10/25/19 16:15,13.6,26.61,206.6,0.748
10/25/19 16:30,13.38,25.88,167.2,0.695
10/25/19 16:45,13.02,28.82,127.7,0.665
10/25/19 17:00,12.46,32.77,87.4,0.551
10/25/19 17:15,10.94,37.43,15.77,0.127
10/25/19 17:30,9.61,43.62,8.69,0.019
10/25/19 17:45,8.84,40.63,3.303,0.301
10/25/19 18:00,8.52,42.33,0.48,0.268
10/25/19 18:15,7.062,54.51,0,0.156
10/25/19 18:30,6.073,52.71,0,0.224
10/25/19 18:45,5.605,59.91,0,0.264
10/25/19 19:00,5.268,63.01,0,0.088
10/25/19 19:15,4.431,67.23,0,0.039
10/25/19 19:30,4.218,65.28,0,0.15
10/25/19 19:45,3.581,71.81,0,0.031
10/25/19 20:00,3.711,66.57,0,0.053
10/25/19 20:15,4.14,67.57,0,0.319
10/25/19 20:30,3.605,69.76,0,0.233
10/25/19 20:45,3.12,68.16,0,0.12
10/25/19 21:00,2.95,67.61,0,0.006
10/25/19 21:15,2.489,76.18,0,0.271
10/25/19 21:30,1.853,78.34,0,0.184
10/25/19 21:45,2.053,77.27,0.001,0.148
10/25/19 22:00,1.942,78.42,0.001,0.111
10/25/19 22:15,1.912,76.39,0.001,0.315
10/25/19 22:30,1.682,75.68,0,0.426
10/25/19 22:45,1.521,78.33,0,0.209
10/25/19 23:00,1.275,78.83,0.002,0.254
10/25/19 23:15,1.191,79.49,0,0.253
10/25/19 23:30,0.976,80.8,0.001,0.889
10/25/19 23:45,0.862,78.6,0.001,0.478
10/26/19 0:00,0.886,80.7,0.001,0.541
10/26/19 0:15,0.793,77.88,0.002,0.175
10/26/19 0:30,0.31,84.8,0,0.244
10/26/19 0:45,0.446,82.8,0.003,0.32
10/26/19 1:00,0.125,84.6,0,0.405
10/26/19 1:15,-0.004,85.5,0.004,0.159
10/26/19 1:30,-0.005,83.9,0,0.39
10/26/19 1:45,0.317,80.8,0.003,0.281
10/26/19 2:00,-0.001,83.9,0,0.366
10/26/19 2:15,0.039,82.9,0.003,0.605
10/26/19 2:30,-0.119,82.9,0.003,0.359
10/26/19 2:45,-0.296,83.3,0.002,0.438
10/26/19 3:00,-0.844,87.9,0.002,0.21
10/26/19 3:15,-1.005,87.7,0,0.7
10/26/19 3:30,-0.905,87.7,0.003,0.454
10/26/19 3:45,-1.118,86.5,0.002,0.745
10/26/19 4:00,-0.901,84.1,0.003,0.919
10/26/19 4:15,-1.169,83.4,0.006,0.636
10/26/19 4:30,-1.627,86,0.003,1.079
10/26/19 4:45,-1.729,87.6,0.003,0.388
10/26/19 5:00,-1.93,85.9,0,0.324
10/26/19 5:15,-1.851,86.4,0,0.315
10/26/19 5:30,-1.856,88.3,0.002,0.343
10/26/19 5:45,-1.984,89.6,0.002,0.57
10/26/19 6:00,-1.923,89.9,0.001,0.793
10/26/19 6:15,-1.832,89.4,0.003,0.462
10/26/19 6:30,-1.544,87.8,0.031,0.547
10/26/19 6:45,-1.499,87.9,1.001,1.274
10/26/19 7:00,-1.617,87,5.712,0.867
10/26/19 7:15,-1.748,86.5,12.11,0.563
10/26/19 7:30,-1.625,87.8,17.96,0.669
10/26/19 7:45,-1.844,87.4,53.23,0.482
10/26/19 8:00,-1.126,83.5,142.3,0.563
10/26/19 8:15,-0.313,81.3,180.8,0.817
10/26/19 8:30,0.898,77.21,221.6,0.315
10/26/19 8:45,2.021,79.13,262.3,0.893
10/26/19 9:00,3.556,70.44,301.3,0.561
10/26/19 9:15,6.019,60.44,338.5,0.457
10/26/19 9:30,8.03,59.51,375.1,1.14
10/26/19 9:45,8.4,52.3,408,0.743
10/26/19 10:00,9.41,56.02,440.5,1.38
10/26/19 10:15,9.48,52.91,468.9,1.574
10/26/19 10:30,10.02,51.75,497,1.591
10/26/19 10:45,10.23,44.62,521.6,1.384
10/26/19 11:00,10.75,43.5,541.8,1.562
10/26/19 11:15,11.49,43.97,557,1.646
10/26/19 11:30,12.13,43.32,569.6,1.492
10/26/19 11:45,12.67,41.24,580,1.428
10/26/19 12:00,13.45,40.37,592,1.291
10/26/19 12:15,13.45,42.3,596.7,2.273
10/26/19 12:30,12.74,44.7,583.7,2.062
10/26/19 12:45,12.74,45.22,599,1.869
10/26/19 13:00,12.15,43.97,530.8,1.901
10/26/19 13:15,11.79,46.63,415.6,1.921
10/26/19 13:30,10.99,47.88,238.1,1.856
10/26/19 13:45,10.68,30.47,226.3,2.421
10/26/19 14:00,10.71,26.61,231.2,1.639
10/26/19 14:15,10.37,25.78,141.6,1.84
10/26/19 14:30,10.02,27.52,69.14,1.34
10/26/19 14:45,9.71,27.61,47.07,1.214
10/26/19 15:00,9.44,27.22,31.65,1.058
10/26/19 15:15,9.04,27.15,16.82,1.057
10/26/19 15:30,8.54,26.07,18.41,1.246
10/26/19 15:45,8.2,24.58,16.71,1.136
10/26/19 16:00,7.902,26.41,19.14,1.086
10/26/19 16:15,7.698,28.78,19.87,0.687
10/26/19 16:30,7.467,29.85,15.01,0.715
10/26/19 16:45,7.124,32.98,14.42,0.834
10/26/19 17:00,6.796,33.61,10.79,0.558
10/26/19 17:15,6.627,34.57,13.28,0.562
10/26/19 17:30,6.453,36.61,4.45,0.563
10/26/19 17:45,6.114,37.23,2.128,0.742
10/26/19 18:00,5.591,39.58,0.142,0.665
10/26/19 18:15,5.113,41.53,0,0.448
10/26/19 18:30,4.466,44.16,0,0.177
10/26/19 18:45,3.614,47.5,0,0.177
10/26/19 19:00,3.479,47.96,0,0.454
10/26/19 19:15,3.339,52.3,0.001,0.594
10/26/19 19:30,3.24,53.7,0,0.821
10/26/19 19:45,3.397,58,0,0.26
10/26/19 20:00,3.067,59.18,0.001,1.048
10/26/19 20:15,2.636,61.09,0,0.989
10/26/19 20:30,2.273,65.44,0,0.796
10/26/19 20:45,1.578,70.55,0.001,0.41
10/26/19 21:00,1.063,74.38,0,0.293
10/26/19 21:15,0.658,76.41,0.001,0.579
10/26/19 21:30,0.547,77.97,0.003,0.436
10/26/19 21:45,0.141,79.49,0,0.043
10/26/19 22:00,0.005,81.1,0.002,1.134
10/26/19 22:15,-0.354,83.9,0.001,0.552
10/26/19 22:30,-0.628,83,0,0.729
